site,year,transect,species,count
cbc 30N,2019,2,Madracis decac.,
cbc 30N,2019,2,Meandrina mea.,2
cbc 30N,2019,2,M. cavernosa,6
cbc 30N,2019,2,O. faveolata,
cbc 30N,2019,2,O. franksi,
cbc 30N,2019,2,O. annularis,17
cbc 30N,2019,2,Mycetophyllia,
cbc 30N,2019,2,Orbicella,
cbc 30N,2019,2,P. astreoides,47
cbc 30N,2019,2,P. porites,10
cbc 30N,2019,2,P. furcata,
cbc 30N,2019,2,Sid. siderea,63
cbc 30N,2019,2,Sid. radians,
cbc 30N,2019,2,Stephanocoenia,10
cbc 30N,2019,2,tot colonies,281
sr 30N,2019,1,Ag. agaricites,86
sr 30N,2019,1,Ag. tenufolia,26
sr 30N,2019,1,Ag fragilis,
sr 30N,2019,1,Ag humilis,
sr 30N,2019,1,Colpo. natans,1
sr 30N,2019,1,Dichocoenia ,1
sr 30N,2019,1,Dipl. clivosa,
sr 30N,2019,1,Dipl. labyrinth.,1
sr 30N,2019,1,Dipl. strigosa,11
sr 30N,2019,1,Eusmilia fast.,
sr 30N,2019,1,Favia fragum,
sr 30N,2019,1,Isophyllia,
sr 30N,2019,1,Helio cuc.,3
sr 30N,2019,1,Madracis mir.,
sr 30N,2019,1,Madracis decac.,
sr 30N,2019,1,Meandrina mea.,1
sr 30N,2019,1,M. cavernosa,5
sr 30N,2019,1,O. faveolata,3
sr 30N,2019,1,O. franksi,
sr 30N,2019,1,O. annularis,6
sr 30N,2019,1,Mycetophyllia,2
sr 30N,2019,1,Orbicella,
sr 30N,2019,1,P. astreoides,41
sr 30N,2019,1,P. porites,16
sr 30N,2019,1,P. furcata,
sr 30N,2019,1,Sid. siderea,56
sr 30N,2019,1,Sid. radians,
sr 30N,2019,1,Stephanocoenia,4
sr 30N,2019,1,tot colonies,263
sr 30N,2019,2,Ag. agaricites,40
sr 30N,2019,2,Ag. tenufolia,10
sr 30N,2019,2,Ag fragilis,
sr 30N,2019,2,Ag humilis,1
sr 30N,2019,2,Colpo. natans,
sr 30N,2019,2,Dichocoenia ,
sr 30N,2019,2,Dipl. clivosa,
sr 30N,2019,2,Dipl. labyrinth.,
sr 30N,2019,2,Dipl. strigosa,
sr 30N,2019,2,Eusmilia fast.,
sr 30N,2019,2,Favia fragum,
sr 30N,2019,2,Isophyllia,
sr 30N,2019,2,Helio cuc.,2
sr 30N,2019,2,Madracis mir.,
sr 30N,2019,2,Madracis decac.,5
sr 30N,2019,2,Meandrina mea.,2
sr 30N,2019,2,M. cavernosa,2
sr 30N,2019,2,O. faveolata,1
sr 30N,2019,2,O. franksi,
sr 30N,2019,2,O. annularis,
sr 30N,2019,2,Mycetophyllia,1
sr 30N,2019,2,Orbicella,
sr 30N,2019,2,P. astreoides,19
sr 30N,2019,2,P. porites,22
sr 30N,2019,2,P. furcata,1
sr 30N,2019,2,Sid. siderea,35
sr 30N,2019,2,Sid. radians,
sr 30N,2019,2,Stephanocoenia,
sr 30N,2019,2,tot colonies,141
sr 30S,2019,1,Ag. agaricites,131
sr 30S,2019,1,Ag. tenufolia,13
sr 30S,2019,1,Ag fragilis,
sr 30S,2019,1,Ag humilis,
sr 30S,2019,1,Colpo. natans,
sr 30S,2019,1,Dichocoenia ,1
sr 30S,2019,1,Dipl. clivosa,
sr 30S,2019,1,Dipl. labyrinth.,
sr 30S,2019,1,Dipl. strigosa,3
sr 30S,2019,1,Eusmilia fast.,1
sr 30S,2019,1,Favia fragum,
sr 30S,2019,1,Isophyllia,
sr 30S,2019,1,Helio cuc.,3
sr 30S,2019,1,Madracis mir.,
sr 30S,2019,1,Madracis decac.,
sr 30S,2019,1,Meandrina mea.,
sr 30S,2019,1,M. cavernosa,5
sr 30S,2019,1,O. faveolata,1
sr 30S,2019,1,O. franksi,
sr 30S,2019,1,O. annularis,5
sr 30S,2019,1,Mycetophyllia,
sr 30S,2019,1,Orbicella,
sr 30S,2019,1,P. astreoides,42
sr 30S,2019,1,P. porites,22
sr 30S,2019,1,P. furcata,
sr 30S,2019,1,Sid. siderea,47
sr 30S,2019,1,Sid. radians,
sr 30S,2019,1,Stephanocoenia,4
sr 30S,2019,1,tot colonies,279
sr 30S,2019,2,Ag. agaricites,84
sr 30S,2019,2,Ag. tenufolia,19
sr 30S,2019,2,Ag fragilis,
sr 30S,2019,2,Ag humilis,
sr 30S,2019,2,Colpo. natans,
sr 30S,2019,2,Dichocoenia ,2
sr 30S,2019,2,Dipl. clivosa,
sr 30S,2019,2,Dipl. labyrinth.,
sr 30S,2019,2,Dipl. strigosa,1
sr 30S,2019,2,Eusmilia fast.,
sr 30S,2019,2,Favia fragum,
sr 30S,2019,2,Isophyllia,
sr 30S,2019,2,Helio cuc.,2
sr 30S,2019,2,Madracis mir.,
sr 30S,2019,2,Madracis decac.,2
sr 30S,2019,2,Meandrina mea.,
sr 30S,2019,2,M. cavernosa,4
sr 30S,2019,2,O. faveolata,
sr 30S,2019,2,O. franksi,
sr 30S,2019,2,O. annularis,7
sr 30S,2019,2,Mycetophyllia,
sr 30S,2019,2,Orbicella,
sr 30S,2019,2,P. astreoides,40
sr 30S,2019,2,P. porites,18
sr 30S,2019,2,P. furcata,16
sr 30S,2019,2,Sid. siderea,41
sr 30S,2019,2,Sid. radians,
sr 30S,2019,2,Stephanocoenia,3
sr 30S,2019,2,tot colonies,239
sr 30C,2019,1,Ag. agaricites,85
sr 30C,2019,1,Ag. tenufolia,13
sr 30C,2019,1,Ag fragilis,
sr 30C,2019,1,Ag humilis,
sr 30C,2019,1,Colpo. natans,
sr 30C,2019,1,Dichocoenia ,3
sr 30C,2019,1,Dipl. clivosa,
sr 30C,2019,1,Dipl. labyrinth.,
sr 30C,2019,1,Dipl. strigosa,3
sr 30C,2019,1,Eusmilia fast.,
sr 30C,2019,1,Favia fragum,1
sr 30C,2019,1,Isophyllia,
sr 30C,2019,1,Helio cuc.,1
sr 30C,2019,1,Madracis mir.,
sr 30C,2019,1,Madracis decac.,2
sr 30C,2019,1,Meandrina mea.,2
sr 30C,2019,1,M. cavernosa,2
sr 30C,2019,1,O. faveolata,2
sr 30C,2019,1,O. franksi,
sr 30C,2019,1,O. annularis,
sr 30C,2019,1,Mycetophyllia,
sr 30C,2019,1,Orbicella,1
sr 30C,2019,1,P. astreoides,50
sr 30C,2019,1,P. porites,16
sr 30C,2019,1,P. furcata,
sr 30C,2019,1,Sid. siderea,35
sr 30C,2019,1,Sid. radians,
sr 30C,2019,1,Stephanocoenia,4
sr 30C,2019,1,tot colonies,220
sr 30C,2019,2,Ag. agaricites,75
sr 30C,2019,2,Ag. tenufolia,12
sr 30C,2019,2,Ag fragilis,
sr 30C,2019,2,Ag humilis,
sr 30C,2019,2,Colpo. natans,
sr 30C,2019,2,Dichocoenia ,3
sr 30C,2019,2,Dipl. clivosa,
sr 30C,2019,2,Dipl. labyrinth.,1
sr 30C,2019,2,Dipl. strigosa,4
sr 30C,2019,2,Eusmilia fast.,1
sr 30C,2019,2,Favia fragum,
sr 30C,2019,2,Isophyllia,
sr 30C,2019,2,Helio cuc.,6
sr 30C,2019,2,Madracis mir.,
sr 30C,2019,2,Madracis decac.,13
sr 30C,2019,2,Meandrina mea.,
sr 30C,2019,2,M. cavernosa,11
sr 30C,2019,2,O. faveolata,2
sr 30C,2019,2,O. franksi,1
sr 30C,2019,2,O. annularis,9
sr 30C,2019,2,Mycetophyllia,
sr 30C,2019,2,Orbicella,
sr 30C,2019,2,P. astreoides,68
sr 30C,2019,2,P. porites,20
sr 30C,2019,2,P. furcata,14
sr 30C,2019,2,Sid. siderea,57
sr 30C,2019,2,Sid. radians,
sr 30C,2019,2,Stephanocoenia,9
sr 30C,2019,2,tot colonies,306
cbc lagoon patch,2019,1,Ag. agaricites,63
cbc lagoon patch,2019,1,Ag. tenufolia,76
cbc lagoon patch,2019,1,Ag fragilis,1
cbc lagoon patch,2019,1,Ag humilis,
cbc lagoon patch,2019,1,Colpo. natans,1
cbc lagoon patch,2019,1,Dichocoenia ,5
cbc lagoon patch,2019,1,Dipl. clivosa,
cbc lagoon patch,2019,1,Dipl. labyrinth.,4
cbc lagoon patch,2019,1,Dipl. strigosa,
cbc lagoon patch,2019,1,Eusmilia fast.,2
cbc lagoon patch,2019,1,Favia fragum,
